id,categoria,edad,genero,estado_civil,ingreso_reportado,maximo_dias_mora,saldo_total,saldo_productos_activos,saldo_productos_pasivos,cantidad_productos_activos,cantidad_productos_pasivos,saldo_en_competencia,monto_credito,plazo_credito,calificacion_crediticia,garantia_credito,tasa_interes
665928,optima,47.0,femenino,divorciado,130730.0,17.0,447609.0,421694.0,25915.0,2.0,3.0,217496.53,616000.0,248.0,4.0,hipotecaria,6.62
845135,privada,58.0,masculino,casado,,19.0,2462266.0,497449.0,1964817.0,1.0,3.0,480842.73,219000.0,98.0,2.0,autoliquidable,7.81
221108,optima,47.0,femenino,casado,113685.0,9.0,74209.0,66339.0,7870.0,3.0,2.0,197102.08,210000.0,50.0,3.0,fiduciaria,13.46
899434,privada,63.0,femenino,casado,81223.0,5.0,4207262.0,3916444.0,290818.0,3.0,4.0,22492.03,566000.0,25.0,2.0,autoliquidable,9.3
544365,privada,83.0,masculino,soltero,88008.0,1.0,6095037.0,5991345.0,103692.0,1.0,3.0,1065030.46,90000.0,288.0,3.0,hipotecaria,6.71
257763,optima,43.0,femenino,divorciado,37307.0,1.0,135087.0,130301.0,4786.0,3.0,0.0,66877.16,256000.0,39.0,2.0,fiduciaria,14.91
446673,optima,35.0,masculino,divorciado,236875.0,5.0,984425.0,975833.0,8592.0,3.0,0.0,590159.06,139000.0,67.0,5.0,fiduciaria,13.74
561022,optima,56.0,femenino,casado,26287.0,5.0,69425.0,53139.0,16286.0,3.0,0.0,1834594.78,25000.0,55.0,3.0,fiduciaria,23.99
480503,optima,46.0,masculino,divorciado,139801.0,40.0,679802.0,659431.0,20371.0,3.0,1.0,669429.58,428000.0,53.0,6.0,fiduciaria,17.6
669996,optima,36.0,femenino,casado,51415.0,4.0,381637.0,371995.0,9642.0,4.0,0.0,402915.75,337000.0,64.0,4.0,fiduciaria,13.16
323541,privada,37.0,femenino,casado,,47.0,4894973.0,2046506.0,2848467.0,3.0,7.0,41728.88,2171000.0,240.0,2.0,hipotecaria,6.34
192473,optima,36.0,femenino,casado,108440.0,0.0,30369.0,19771.0,10598.0,4.0,2.0,996046.42,99000.0,62.0,3.0,fiduciaria,15.9
503636,optima,54.0,femenino,soltero,,10.0,672822.0,561689.0,111133.0,3.0,1.0,694188.05,342000.0,233.0,2.0,hipotecaria,7.41
520979,optima,33.0,masculino,soltero,115997.0,9.0,349372.0,313656.0,35716.0,3.0,0.0,998426.32,394000.0,40.0,6.0,fiduciaria,15.39
925420,optima,59.0,femenino,casado,124190.0,2.0,860831.0,842903.0,17928.0,5.0,1.0,365048.26,308000.0,53.0,4.0,fiduciaria,16.02
264321,optima,41.0,femenino,soltero,71624.0,23.0,1651425.0,1645914.0,5511.0,1.0,0.0,252912.85,167000.0,324.0,3.0,hipotecaria,6.99
278454,optima,33.0,femenino,casado,83007.0,4.0,59080.0,55132.0,3948.0,4.0,1.0,66495.05,807000.0,31.0,3.0,fiduciaria,12.69
359473,optima,50.0,femenino,casado,98783.0,19.0,1186599.0,1180204.0,6395.0,4.0,1.0,1176892.1,688000.0,234.0,3.0,hipotecaria,7.17
859872,optima,42.0,masculino,casado,62378.0,3.0,575540.0,562253.0,13287.0,3.0,4.0,44624.21,35000.0,87.0,3.0,fiduciaria,13.29
266661,optima,41.0,masculino,soltero,,52.0,232152.0,188646.0,43506.0,3.0,1.0,,489000.0,48.0,5.0,fiduciaria,17.34
282395,optima,39.0,masculino,casado,256318.0,23.0,305308.0,297067.0,8241.0,5.0,2.0,28691.65,249000.0,51.0,6.0,fiduciaria,19.29
451153,optima,49.0,femenino,casado,30388.0,43.0,128771.0,105031.0,23740.0,4.0,1.0,670957.93,281000.0,56.0,5.0,fiduciaria,14.84
286727,optima,58.0,masculino,casado,,30.0,619835.0,556428.0,63407.0,3.0,0.0,35272.19,71000.0,55.0,4.0,fiduciaria,14.4
687620,optima,43.0,femenino,divorciado,,33.0,87036.0,81341.0,5695.0,3.0,1.0,132854.53,257000.0,26.0,3.0,fiduciaria,14.75
